folder,total_conversations,matched_conversations,unmatched_conversations,match_rate
CSN1,21,20,1,95.2%
CSN10,17,17,0,100.0%
CSN11,16,16,0,100.0%
CSN12,0,0,0,0%
CSN13,18,18,0,100.0%
CSN14,18,18,0,100.0%
CSN15,22,22,0,100.0%
CSN16,18,18,0,100.0%
CSN17,22,22,0,100.0%
CSN18,15,15,0,100.0%
CSN19,16,11,5,68.8%
CSN2,20,12,8,60.0%
CSN20,19,12,7,63.2%
CSN21,17,8,9,47.1%
CSN22,13,2,11,15.4%
CSN3,20,6,14,30.0%
CSN4,17,8,9,47.1%
CSN5,13,3,10,23.1%
CSN6,19,6,13,31.6%
CSN7,20,14,6,70.0%
CSN8,21,12,9,57.1%
CSN9,35,8,27,22.9%
